problem,optimizer,run_idx,optimality_gap
Laske,fides,1,33.6718418688327
Laske,fides,1,83.63765783171465
Laske,fides,1,49.827238400125225
Laske,fides,1,159.35589164243953
Laske,fides,1,96.28956438744223
Laske,fides,1,193.9936092246332
Laske,fides,1,83.90352170577012
Laske,fides,1,73.70159117537588
Laske,fides,1,103.46418706439829
Laske,fides,1,27.035579469262586
Laske,fides,1,121.49933536146636
Laske,fides,1,23.321014009642113
Laske,fides,1,94.36425457483392
Laske,fides,1,61.043310526514574
Laske,fides,1,60.263510494017964
Laske,fides,1,30.507386875458337
Laske,fides,1,128.42538615662767
Laske,fides,1,95.60731042400698
Laske,fides,1,103.49745380006567
Laske,fides,1,4.9727603654308155
Laske,fides,1,61.043388272946345
Laske,fides,1,1024.6542531176528
Laske,fides,1,116.03259687255394
Laske,fides,1,86.34545581315797
Laske,fides,1,102.87238318539283
Laske,fides,1,27.035579910546858
Laske,fides,1,107.65972558676378
Laske,fides,1,58.84784521633628
Laske,fides,1,103.49752519518341
Laske,fides,1,131.1627731279117
Laske,fides,1,58.84789760397524
Laske,fides,1,43.32593141053121
Laske,fides,1,5.582009521276632e-07
Laske,fides,1,47.15525180567511
Laske,fides,1,138.04587266146405
Laske,fides,1,6.035957653693913e-07
Laske,fides,1,80.04575830127322
Laske,fides,1,141.85597967308877
Laske,fides,1,57.933050464245184
Laske,fides,1,88.3803785423384
Laske,fides,1,94.47963830253872
Laske,fides,1,101.14548898571991
Laske,fides,1,71.71509750119787
Laske,fides,1,86.31442338526244
Laske,fides,1,23.321014072200512
Laske,fides,1,94.76888272169737
Laske,fides,1,60.26353034576664
Laske,fides,1,125.27733211609694
Laske,fides,1,85.31620659337352
Laske,fides,1,199.17512626208975
Laske,fides,1,72.6224612430783
Laske,fides,1,88.1781776833792
Laske,fides,1,86.5427158733126
Laske,fides,1,67.0514894370238
Laske,fides,1,46.865580652142796
Laske,fides,1,103.49791845554842
Laske,fides,1,124.93118072629363
Laske,fides,1,125.27657117548142
Laske,fides,1,99.18148929994567
Laske,fides,1,102.89695033895777
Laske,fides,1,213.67590338800636
Laske,fides,1,96.42512593765724
Laske,fides,1,35.9197705940021
Laske,fides,1,115.85060370509927
Laske,fides,1,127.37152682257204
Laske,fides,1,115.85061523537513
Laske,fides,1,58.84789283903632
Laske,fides,1,439.64111743426383
Laske,fides,1,55.72359230209992
Laske,fides,1,59.68383702931163
Laske,fides,1,35.91969303253086
Laske,fides,1,23.321014142915203
Laske,fides,1,2677.4843409549494
Laske,fides,1,125.27734103770308
Laske,fides,1,1.0721836360971793e-06
Laske,fides,1,49.82338733181774
Laske,fides,1,73.70161498644029
Laske,fides,1,96.6576351577873
Laske,fides,1,85.32335199209695
Laske,fides,1,115.85063468359522
Laske,fides,1,73.70158216890763
Laske,fides,1,58.84789765241112
Laske,fides,1,23.32099531899911
Laske,fides,1,102.89687410514341
Laske,fides,1,259490.94828514243
Laske,fides,1,113.59288912804027
Laske,fides,1,5.397697009357216e-07
Laske,fides,1,33.67187071809229
Laske,fides,1,14.129769514960344
Laske,fides,1,68.77614779263445
Laske,fides,1,192.02005885765453
Laske,fides,1,35.91976358078398
Laske,fides,1,95.68659604357697
Laske,fides,1,59.49245516938265
Laske,fides,1,125.27741276115404
Laske,fides,1,95.40799465937079
Laske,fides,1,161.4157734287669
Laske,fides,1,108.07895126082059
Laske,fides,1,88.68017859633113
Laske,fides,1,49.91279783603278
Laske,fides,1,128.99421379519634
Laske,fides,1,4.972760164067495
Laske,fides,1,61.04332217026945
Laske,fides,1,125.27734660791015
Laske,fides,1,102.89663817947417
Laske,fides,1,95.0014466516746
Laske,fides,1,103.29943958513115
